ID Alumno,Taller 1,Taller 2,Taller 3,Actividad en línea 1,Actividad en línea 2,Actividad en línea 3,Prueba 1,Prueba 2,Prueba 3,Nota Presentación,Nota Examen,Nota Final
160002277,7,7,7,6.2,5.9,4.2,5.5,6.6,5.2,6.2,6.1,6.2
160002822,7,7,5.8,6.4,5,4.6,5.5,6.4,4,5.7,5.3,5.5
160003636,7,7,6.4,6.8,5.4,1.3,5.9,4.9,3.2,4.9,5,4.9
160002594,6.5,7,6.2,4.6,5,2.6,6.2,4.3,4.5,5,5.2,5.1
160003478,7,7,6.8,4.6,4,1.7,6.3,5.3,4.2,5.2,5.7,5.4
160001259,7,7,7,6.6,7,4.1,4.9,7,5.7,6.1,5.9,6
160003116,4,7,5.4,5,4.4,1.8,6.1,3.8,4.5,4.7,4.9,4.8
160000935,7,7,7,2.6,1.4,2.2,5.4,5.3,1.8,4.2,5,4.5
160003093,6.6,7,7,6.4,3.9,4,6.1,5.8,4,5.4,4.9,5.2
160003672,7,7,6.8,7,6.6,6,4.6,7,6.3,6.7,6.9,6.8
160001307,7,6.7,7,6.2,3.4,3.7,6.2,5.8,4.2,5.4,4.8,5.2
160000854,7,7,7,5.4,5.5,2.3,4.6,5,2.7,5,4.1,4.6
160001083,5.8,7,7,6.6,5.4,3.6,5.3,5.1,4,5.1,4.5,4.9
160002186,7,6.8,6.6,4.4,6.1,4.9,4.2,4.8,5.2,5.1,5,5.1
160001475,4.7,6.8,5.8,7,7,6.1,4.6,6.8,6.4,6.5,5.6,6.1
160003117,7,6.3,7,5.2,2.3,2.5,6.1,2.4,4,4.3,3.5,4
160003169,5.5,7,7,6.4,5.8,2.9,5.4,5.6,4.2,5.3,4.8,5.1
160001196,6.5,7,5.6,4.4,2.9,3.6,3.1,4.3,4.9,4.4,4.3,4.4
160003664,6,7,7,6.8,3.7,3,5,4.9,3.1,4.7,3.2,4.1
160003508,7,7,7,5.2,5.4,4.5,6.2,4.6,2,4.7,5.6,5.1
160001968,6.5,7,7,5.8,5.4,4.5,4.9,6.6,4.1,5.5,4.7,5.2
160000457,6.5,7,7,4.8,6.1,5.8,3.8,3.8,2.3,4.1,4,4.1
160000894,6,7,5.8,5.4,5.8,3.5,4.6,6.1,2.7,5.2,4.5,4.9
160002292,7,6.5,7,4.2,3.4,1.4,4.4,5,3.8,4.6,5.2,4.8
160003313,5.5,3,6.8,4.6,6.2,3.6,3.7,6.1,4,4.8,4.3,4.6
160000845,7,3.5,7,4.2,4.6,1.4,6,6.6,4.4,5.3,4,4.8
160003464,7,7,7,5.4,4.7,3.2,6,5,1.8,4.6,5.5,5
